,Date,# New Users
0,-172,1
1,-162,1
2,-161,1
3,-160,2
4,-159,7
5,-158,6
6,-157,1
7,-156,1
8,-155,1
9,-154,2
10,-152,1
11,-151,4
12,-149,1
13,-148,1
14,-146,0
15,-144,0
16,-142,0
17,-141,0
18,-137,2
19,-134,1
20,-119,1
21,-117,2
22,-116,0
23,-115,2
24,-114,2
25,-113,4
26,-112,0
27,-109,2
28,-108,1
29,-107,0
30,-106,2
31,-105,1
32,-104,1
33,-103,1
34,-101,1
35,-100,1
36,-98,1
37,-97,1
38,-96,1
39,-94,1
40,-90,1
41,-88,2
42,-87,1
43,-86,0
44,-85,1
45,-83,4
46,-82,1
47,-81,1
48,-76,2
49,-75,1
50,-74,2
51,-73,2
52,-72,3
53,-71,1
54,-69,1
55,-68,2
56,-67,9
57,-66,1
58,-65,1
59,-60,0
60,-57,1
61,-55,11
62,-54,6
63,-53,0
64,-52,3
65,-51,0
66,-50,2
67,-49,2
68,-48,3
69,-47,1
70,-46,2
71,-45,2
72,-42,3
73,-41,0
74,-40,0
75,-39,1
76,-37,1
77,-36,1
78,-35,4
79,-34,56
80,-33,10
81,-32,4
82,-31,0
83,-30,3
84,-29,0
85,-28,1
86,-27,0
87,-26,1
88,-25,2
89,-24,1
90,-23,3
91,-22,1
92,-18,0
93,-14,0
94,-13,2
95,-12,0
96,-9,0
97,-8,2
98,-7,1
99,-5,0
100,-1,0
101,0,9
102,1,113
103,2,101
104,3,76
105,4,48
106,5,34
107,6,33
108,7,34
109,8,39
110,9,28
111,10,15
112,11,12
113,12,9
114,13,11
115,14,17
116,15,7
117,16,0
118,17,3
119,18,1
120,19,1
121,20,2
122,21,2
123,22,4
124,23,4
125,24,5
126,26,0
127,27,4
128,28,6
129,29,4
130,30,6
131,31,20
132,32,7
133,33,6
134,34,2
135,35,2
136,36,5
137,37,1
138,38,10
139,39,2
140,40,6
141,41,6
142,42,1
143,43,4
144,44,4
145,45,5
146,46,6
147,47,5
148,48,4
149,49,4
150,50,2
151,51,1
152,52,6
153,53,10
154,54,1
155,55,3
156,56,6
157,57,1
158,58,13
159,59,7
160,60,3
161,61,0
162,62,2
163,63,2
164,64,5
165,65,9
166,66,4
167,67,6
168,69,1
169,70,1
170,71,2
171,72,2
172,73,1
173,74,2
174,76,2
175,77,3
176,78,0
177,79,2
178,80,3
179,81,2
180,82,4
181,83,10
182,84,2
183,85,1
184,86,2
185,87,0
186,88,0
187,89,3
188,90,2
189,91,4
190,92,3
191,93,4
192,94,3
193,95,2
194,96,1
195,98,1
196,99,5
197,100,4
198,101,3
199,102,4
200,103,1
201,104,3
202,105,0
203,106,3
204,107,2
205,108,1
206,109,2
207,110,0
208,111,4
209,112,6
210,113,4
211,114,4
212,115,3
213,116,2
214,117,4
215,118,2
216,119,3
217,120,2
218,121,14
219,122,10
220,123,3
221,124,5
222,125,17
223,126,9
224,127,5
225,128,1
226,129,2
227,131,2
228,132,3
229,133,2
230,134,5
231,135,4
232,136,2
233,137,4
234,138,3
235,139,1
236,140,5
237,141,7
238,142,2
239,143,4
240,144,0
241,145,1
242,146,3
243,147,6
244,148,5
245,149,2
246,150,4
247,151,1
248,152,1
249,153,3
250,154,3
251,155,2
252,156,2
253,158,1
254,159,1
255,160,0
256,161,0
257,162,0
258,163,38
259,164,48
260,165,20
261,166,5
262,167,1
263,168,12
264,169,15
265,170,9
266,171,5
267,172,7
268,173,3
269,174,7
270,175,4
271,176,4
272,177,4
273,178,1
274,179,17
275,180,10
