,Date,# Unique Users
0,-181,1
1,-180,2
2,-179,1
3,-178,1
4,-177,3
5,-175,2
6,-174,1
7,-172,1
8,-162,2
9,-161,1
10,-160,2
11,-159,7
12,-158,6
13,-157,1
14,-156,1
15,-155,1
16,-154,3
17,-152,3
18,-151,4
19,-149,2
20,-148,1
21,-146,1
22,-144,1
23,-142,1
24,-141,1
25,-137,3
26,-134,1
27,-119,1
28,-117,2
29,-116,1
30,-115,2
31,-114,2
32,-113,6
33,-112,2
34,-109,3
35,-108,1
36,-107,1
37,-106,3
38,-105,1
39,-104,1
40,-103,2
41,-101,1
42,-100,1
43,-98,1
44,-97,1
45,-96,1
46,-94,1
47,-90,1
48,-88,2
49,-87,2
50,-86,1
51,-85,1
52,-83,5
53,-82,1
54,-81,1
55,-76,2
56,-75,1
57,-74,2
58,-73,3
59,-72,5
60,-71,1
61,-69,3
62,-68,3
63,-67,9
64,-66,2
65,-65,1
66,-60,1
67,-57,1
68,-55,19
69,-54,9
70,-53,1
71,-52,4
72,-51,2
73,-50,2
74,-49,5
75,-48,6
76,-47,2
77,-46,6
78,-45,2
79,-42,5
80,-41,1
81,-40,1
82,-39,1
83,-37,1
84,-36,1
85,-35,5
86,-34,62
87,-33,13
88,-32,5
89,-31,1
90,-30,4
91,-29,1
92,-28,1
93,-27,2
94,-26,3
95,-25,5
96,-24,1
97,-23,3
98,-22,3
99,-18,1
100,-14,1
101,-13,2
102,-12,1
103,-9,3
104,-8,2
105,-7,2
106,-5,1
107,-1,1
108,0,10
109,1,124
110,2,108
111,3,84
112,4,53
113,5,40
114,6,36
115,7,44
116,8,49
117,9,38
118,10,18
119,11,17
120,12,13
121,13,13
122,14,23
123,15,13
124,16,4
125,17,7
126,18,7
127,19,2
128,20,6
129,21,2
130,22,6
131,23,8
132,24,10
133,26,1
134,27,7
135,28,9
136,29,5
137,30,7
138,31,23
139,32,11
140,33,9
141,34,2
142,35,4
143,36,6
144,37,2
145,38,11
146,39,3
147,40,9
148,41,10
149,42,5
150,43,5
151,44,4
152,45,7
153,46,10
154,47,11
155,48,5
156,49,7
157,50,4
158,51,1
159,52,8
160,53,15
161,54,5
162,55,3
163,56,9
164,57,2
165,58,20
166,59,12
167,60,3
168,61,2
169,62,6
170,63,3
171,64,5
172,65,13
173,66,6
174,67,7
175,69,1
176,70,4
177,71,2
178,72,5
179,73,2
180,74,2
181,76,5
182,77,4
183,78,2
184,79,2
185,80,4
186,81,2
187,82,10
188,83,13
189,84,6
190,85,3
191,86,2
192,87,1
193,88,2
194,89,4
195,90,3
196,91,6
197,92,5
198,93,5
199,94,5
200,95,5
201,96,2
202,98,4
203,99,9
204,100,7
205,101,6
206,102,4
207,103,3
208,104,5
209,105,3
210,106,5
211,107,5
212,108,2
213,109,5
214,110,5
215,111,7
216,112,10
217,113,7
218,114,5
219,115,4
220,116,3
221,117,6
222,118,4
223,119,3
224,120,3
225,121,16
226,122,16
227,123,6
228,124,9
229,125,26
230,126,11
231,127,7
232,128,2
233,129,2
234,131,3
235,132,4
236,133,4
237,134,8
238,135,6
239,136,3
240,137,6
241,138,4
242,139,3
243,140,5
244,141,10
245,142,5
246,143,6
247,144,1
248,145,3
249,146,4
250,147,8
251,148,8
252,149,6
253,150,7
254,151,2
255,152,2
256,153,4
257,154,4
258,155,2
259,156,2
260,158,2
261,159,1
262,160,1
263,161,1
264,162,2
265,163,52
266,164,56
267,165,27
268,166,7
269,167,1
270,168,22
271,169,17
272,170,17
273,171,12
274,172,8
275,173,7
276,174,11
277,175,5
278,176,8
279,177,5
280,178,2
281,179,26
282,180,19
