,Date,# Tweets
0,-181,1
1,-180,4
2,-179,1
3,-178,1
4,-177,3
5,-175,2
6,-174,1
7,-172,1
8,-162,2
9,-161,1
10,-160,2
11,-159,7
12,-158,6
13,-157,1
14,-156,1
15,-155,1
16,-154,3
17,-152,4
18,-151,4
19,-149,2
20,-148,1
21,-146,1
22,-144,1
23,-142,1
24,-141,1
25,-137,3
26,-134,1
27,-119,1
28,-117,2
29,-116,1
30,-115,2
31,-114,3
32,-113,7
33,-112,2
34,-109,3
35,-108,1
36,-107,1
37,-106,3
38,-105,1
39,-104,1
40,-103,2
41,-101,1
42,-100,1
43,-98,1
44,-97,1
45,-96,2
46,-94,1
47,-90,2
48,-88,4
49,-87,6
50,-86,2
51,-85,2
52,-83,16
53,-82,2
54,-81,2
55,-76,4
56,-75,2
57,-74,4
58,-73,6
59,-72,10
60,-71,2
61,-69,8
62,-68,6
63,-67,18
64,-66,4
65,-65,2
66,-60,3
67,-57,3
68,-55,66
69,-54,27
70,-53,3
71,-52,12
72,-51,6
73,-50,6
74,-49,15
75,-48,18
76,-47,9
77,-46,18
78,-45,6
79,-42,15
80,-41,3
81,-40,3
82,-39,3
83,-37,3
84,-36,3
85,-35,15
86,-34,198
87,-33,48
88,-32,18
89,-31,3
90,-30,25
91,-29,5
92,-28,5
93,-27,10
94,-26,15
95,-25,25
96,-24,5
97,-23,15
98,-22,20
99,-18,5
100,-14,5
101,-13,10
102,-12,5
103,-9,15
104,-8,10
105,-7,10
106,-5,5
107,-1,8
108,0,68
109,1,530
110,2,525
111,3,477
112,4,244
113,5,176
114,6,176
115,7,222
116,8,228
117,9,166
118,10,88
119,11,76
120,12,72
121,13,60
122,14,96
123,15,54
124,16,16
125,17,28
126,18,28
127,19,8
128,20,28
129,21,8
130,22,24
131,23,36
132,24,40
133,26,4
134,27,32
135,28,36
136,29,20
137,30,28
138,31,90
139,32,33
140,33,27
141,34,6
142,35,12
143,36,21
144,37,6
145,38,36
146,39,9
147,40,27
148,41,33
149,42,15
150,43,15
151,44,12
152,45,21
153,46,30
154,47,33
155,48,15
156,49,27
157,50,18
158,51,3
159,52,27
160,53,45
161,54,15
162,55,9
163,56,18
164,57,4
165,58,42
166,59,24
167,60,3
168,61,2
169,62,6
170,63,6
171,64,5
172,65,13
173,66,6
174,67,7
175,69,1
176,70,4
177,71,2
178,72,6
179,73,2
180,74,2
181,76,5
182,77,4
183,78,2
184,79,2
185,80,4
186,81,2
187,82,14
188,83,15
189,84,6
190,85,3
191,86,2
192,87,1
193,88,2
194,89,4
195,90,3
196,91,6
197,92,12
198,93,10
199,94,10
200,95,10
201,96,4
202,98,10
203,99,20
204,100,14
205,101,12
206,102,8
207,103,6
208,104,10
209,105,8
210,106,10
211,107,10
212,108,4
213,109,10
214,110,10
215,111,16
216,112,22
217,113,14
218,114,10
219,115,8
220,116,6
221,117,14
222,118,8
223,119,6
224,120,6
225,121,36
226,122,38
227,123,6
228,124,10
229,125,28
230,126,11
231,127,7
232,128,2
233,129,2
234,131,3
235,132,4
236,133,4
237,134,8
238,135,6
239,136,3
240,137,8
241,138,5
242,139,4
243,140,5
244,141,10
245,142,7
246,143,7
247,144,1
248,145,3
249,146,4
250,147,12
251,148,9
252,149,9
253,150,9
254,151,2
255,152,2
256,153,9
257,154,4
258,155,2
259,156,2
260,158,2
261,159,1
262,160,1
263,161,1
264,162,2
265,163,55
266,164,75
267,165,33
268,166,7
269,167,1
270,168,23
271,169,18
272,170,19
273,171,12
274,172,9
275,173,8
276,174,15
277,175,6
278,176,8
279,177,5
280,178,2
281,179,28
282,180,20
